Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
MSON,"MISONIX, Inc.",13.46,$233.69M,1992,Capital Goods,Medical Specialities,https://old.nasdaq.com/symbol/mson,
MIND,"Mitcham Industries, Inc.",1.98,$24.12M,1994,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/mind,
MINDP,"Mitcham Industries, Inc.",19.676,n/a,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/mindp,
MITK,"Mitek Systems, Inc.",9.5,$391.01M,n/a,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/mitk,
MKSI,"MKS Instruments, Inc.",104,$5.72B,1999,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mksi,
MMAC,"MMA Capital Holdings, Inc.",24.67,$140.63M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/mmac,
MTC,"MMTec, Inc.",2.09,$41.95M,2019,n/a,n/a,https://old.nasdaq.com/symbol/mtc,
MINI,"Mobile Mini, Inc.",35.145,$1.56B,1994,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/mini,
MOBL,"MobileIron, Inc.",4.51,$520.32M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mobl,
MRNA,"Moderna, Inc.",62,$23.02B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/mrna,
MOGO,Mogo Inc.,1.149,$32.6M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/mogo,
MWK,"Mohawk Group Holdings, Inc.",4.98,$88.46M,2019,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/mwk,
MKD,Molecular Data Inc.,1.75,$201.32M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mkd,
MTEM,"Molecular Templates, Inc.",14.15,$647.08M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mtem,
MBRX,"Moleculin Biotech, Inc.",1.12,$67.65M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbrx,
MNTA,"Momenta Pharmaceuticals, Inc.",31.05,$3.65B,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/mnta,
