Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",83.26,$8.19B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",6.38,$525.45M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",4.5443,$27.58M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.81,$56.33M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",20.98,$1.35B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.97,$49.46M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",29.51,$3.72B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),12.4,$126.5M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,33.19,$847.53M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",14.82,$1.68B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",32.83,$2.1B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",9.68,$1.42B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,5.31,$199.09M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",65.94,$4.41B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",24.27,$334.78M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,9.09,$67.52M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.425,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,11,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
